IOC,Type,
sekoia.io,Domain,
https://backupaccount.net/url/news,URL,
https://backupaccount.net/url/view,URL,
https://www.whiteelection.com/CEA.php,URL,
https://customermgmt.net/page/macrocosm,URL,
http://raytheonjobs.serveblog.net:8888/qwe123,URL,
https://global-careers.org/raytheonjobs/html/raytheonjobs.html,URL,
030eb56e155fb01d7b190866aaa8b3128f935afd0b7a7b2178dc8e2eb84228b0,SHA-256,
9988c5096811f08cbbeab711fce0b411516463213dd71373cb485c3f921ca578,SHA-256,
bb23ddd3a9c353d2cd136f7d4a1f57fb846367e999a346bef0e6e830d4e1df07,SHA-256,
f155d2652aba7a9d044cd168a1e9b6c9ba56258fb553c7aba9c78d7c332a986f,SHA-256,
506f3b12853375a1fbbf85c82ddf13341cf941c5acd4a39a51d6addf145a7a51,SHA-256,
185.156.72.96,IPv4,
213.227.154.22,IPv4,
213.227.155.25,IPv4,
91.216.163.90,IPv4,
5.252.178.20,IPv4,
64.52.80.30,IPv4,
102.129.215.40,IPv4,
216.244.93.137,IPv4,
195.154.41.72,IPv4,
213.32.113.159,IPv4,
193.70.71.112,IPv4,
185.175.138.173,IPv4,
188.165.119.138,IPv4,
185.122.56.232,IPv4,
185.125.204.57,IPv4,
137.74.157.84,IPv4,
109.169.89.103,IPv4,
109.200.24.114,IPv4,
91.134.203.59,IPv4,
54.38.124.150,IPv4,
88.150.221.107,IPv4,
54.36.73.108,IPv4,
54.37.48.172,IPv4,
51.77.11.46,IPv4,
31.7.62.48,IPv4,
5.135.199.25,IPv4,
5.135.120.57,IPv4,
108.62.118.240,IPv4,
137.74.80.220,IPv4,
192.52.166.76,IPv4,
76.8.60.64,IPv4,
185.156.72.96,IPv4,
213.227.155.25,IPv4,
5.252.178.20,IPv4,
